Song,Instrument,Level,No. of Notes,No. Different Note Values,Used Lengths (in quarter length),No. of Notes of Length,No. of Notes on First Beat,No. of Notes on Weaker Beats,No. of Notes on Off Beat,Total Lengths Used,Average Note Length,Percentage of Notes on First Beat,Percentage of Notes on Weaker Beats,Percentage of Notes on Off Beat, ,Key Signature,No. Naturals,No. Accidentals,No. Chords,Total No. of Pitches Used,No. of Octaves Used,Pitch,No. Instances of Pitch,No. of pitch with Semibreve Length,No. of pitch with Minim Length,No. of pitch with Crotchet Length,No. of pitch with Other Length,Pitch with Octave ,No. Instances of Pitch.1,No. of pitch with Semibreve Length.1,No. of pitch with Minim Length.1,No. of pitch with Crotchet Length.1,No. of pitch with Other Length.1,No. Pitch Duration Combos,Intervals Under Third,Intervals Between Third and Fifth,Intervals Between Fifth and Octave,Intervals Over Octave,Average Interval,Maximum Interval, .1,Time Signature,Total No. Bars,No. Bars Rest,No. Bars Play,Percentage of bars that are rest,Longest Section of Rest,Section Type,No. Bars of Section Type, .2,Length of Repeat Fragment,Fragment Start Bar,Where Else Repeated,Consecutive Repeats,Length of Repeat Fragment.1,Fragment Start Bar.1,Where Else Repeated.1,Consecutive Repeats.1,Length of Repeat Fragment.2,Fragment Start Bar.2,Where Else Repeated.2,Consecutive Repeats.2,Total number of 2 bar repeated fragments,Total number of 4 bar repeated fragments,Total number of 8 bar repeated fragments,Overall Total number of repeated fragments,Total 2 bar consec. repeats,Total 4 bar consec. repeats,Total 8 bar consec. repeats,Overall Total consec. repeats, .3
TOM,bass,2.0,205.0,3.0,4.0,96.0,96.0,0.0,0.0,3.0,2.9268292682926833,73.17073170731706,26.34146341463415,0.4878048780487805,,3 sharps,124.0,81.0,0.0,20.0,3.0,['A'],44.0,13.0,30.0,1.0,0.0,A2,40.0,10.0,30.0,0.0,0.0,24.0,143.0,33.0,26.0,0.0,4.202970297029704,12.0,,4/4,162.0,12.0,150.0,7.0,8.0,Rest,8.0,,2.0,14.0,"[18, 26, 30, 54, 58, 98, 102, 110, 114]",0.0,4.0,37.0,"[41, 65, 121, 125, 133, 137, 141, 145, 149, 153, 157]",8.0,8.0,134.0,"[138, 142, 146, 150]",0.0,30.0,41.0,23.0,94.0,2.0,18.0,0.0,20.0,
,,,,,2.0,107.0,54.0,53.0,0.0,,,,,,,,,,,,,"['A#', 'Bb']",0.0,0.0,0.0,0.0,0.0,A3,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,86.0,,2.0,40.0,"[68, 124, 136, 140, 144, 148, 152, 156]",0.0,4.0,13.0,"[17, 25, 29, 53, 57, 97, 101, 109, 113]",5.0,8.0,24.0,"[52, 108]",0.0,,,,,,,,,
,,,,,1.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,"['B', 'Cb']",23.0,23.0,0.0,0.0,0.0,A4,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,Rest,2.0,,2.0,22.0,"[24, 52, 106, 108]",2.0,4.0,39.0,"[123, 135, 139, 143, 147, 151, 155]",5.0,8.0,28.0,"[56, 112]",0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['B#', 'C']",0.0,0.0,0.0,0.0,0.0,B2,20.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,64.0,,2.0,34.0,"[62, 118]",0.0,4.0,21.0,"[23, 105, 107]",0.0,8.0,35.0,"[119, 131]",0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['C#', 'Db']",14.0,3.0,11.0,0.0,0.0,B3,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,44.0,"[72, 128]",0.0,4.0,36.0,"[64, 120, 132]",0.0,8.0,43.0,"[71, 127]",0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,['D'],31.0,21.0,10.0,0.0,0.0,C#3,12.0,1.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,32.0,"[60, 116]",0.0,8.0,16.0,[100],0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['D#', 'Eb']",0.0,0.0,0.0,0.0,0.0,C#4,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,38.0,[122],0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['E', 'Fb']",22.0,21.0,1.0,0.0,0.0,D3,25.0,15.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,44.0,[72],0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['E#', 'F']",0.0,0.0,0.0,0.0,0.0,D4,6.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['F#', 'Gb']",33.0,7.0,26.0,0.0,0.0,E2,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
