,Instrument,Level,No. of Notes,No. Different Note Values,Total Lengths Used,Average Note Length,Percentage of Notes on First Beat,Percentage of Notes on Weaker Beats,Percentage of Notes on Off Beat,No. Naturals,No. Accidentals,No. Chords,Total No. of Pitches Used,No. of Octaves Used,No. Pitch Duration Combos,Average Interval,Maximum Interval,Total No. Bars,Percentage of bars that are rest,Longest Section of Rest,Overall Total number of repeated fragments,Overall Total consec. repeats
0,,,,,,,,,,,,,,,,,,,,,,
25%,,,134.0,4.0,4.0,2.4772117962466487,61.93029490616622,0.0,3.4482758620689653,122.0,32.0,0.0,8.0,3.0,12.0,6.080645161290323,12.0,126.0,0.0,0.0,49.0,3.0
50%,,,241.97480038320347,5.0,5.0,2.7356687898089174,61.93029490616622,3.4852546916890086,15.549597855227885,202.14093730428803,64.0,0.0,8.0,3.0,12.0,7.303763440860215,22.0,170.90328597616158,5.4137931034482785,4.586206896551723,71.0,15.0
75%,,,373.0,5.0,5.0,3.7517241379310335,96.55172413793105,6.092712071102227,15.549597855227885,304.0,69.0,33.03291831979256,19.0,4.0,27.0,7.303763440860215,22.0,233.0,14.0,8.763800622669804,71.0,15.0
count,,,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
max,,,373.0,45.0,45.0,45.0,100.0,45.0,45.0,304.0,115.0,102.0,45.0,45.0,45.0,45.0,45.0,233.0,45.0,45.0,94.0,45.0
mean,,,235.37206713252897,7.348072619542931,7.348072619542931,6.051328741944191,67.64817320698786,7.364351877919937,12.500939868958394,196.5245085800139,56.025653433641345,20.605792096501094,14.193388869565549,6.351406462956654,19.27561344820682,8.805880086284864,18.54606415586242,165.5481368316841,8.283739264497045,7.336937233427684,59.985686207192735,11.757165325679612
min,,,29.0,1.0,1.0,0.6384009215522121,16.711195596826993,0.0,0.0,29.0,6.0,0.0,5.468449587104146,0.5413902920037097,7.760262552056296,1.4560556946391332,5.106018857331862,29.0,0.0,0.0,16.0,0.0
std,,,128.29946720578099,9.432611610158874,9.432611610158874,9.798095405626352,24.033763842861433,10.920760460245562,10.06372117514136,102.34126581989918,27.69808001321515,33.056388632100294,8.862128774805955,9.701788118245185,9.565838734151647,9.024545187859887,8.186707105173133,70.46536232328562,10.974593285761214,10.624238248788846,22.63231986552107,10.05610298058095
0,Piano,1.0,120.0,4.0,4.0,3.9375,99.16666666666669,0.0,0.0,114.0,6.0,0.0,11.0,3.0,14.0,4.1011235955056184,12.0,126.0,6.0,6.0,72.0,2.0
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
