 ,Instrument,Level,No. of Notes,No. Different Note Values,Used Lengths (in quarter length),No. of Notes of Length,No. of Notes on First Beat,No. of Notes on Weaker Beats,No. of Notes on Off Beat,Total Lengths Used,Average Note Length,Percentage of Notes on First Beat,Percentage of Notes on Weaker Beats,Percentage of Notes on Off Beat, ,Key Signature,No. Naturals,No. Accidentals,No. Chords,Total No. of Pitches Used,No. of Octaves Used,Pitch,No. Instances of Pitch,No. of pitch with Semibreve Length,No. of pitch with Minim Length,No. of pitch with Crotchet Length,No. of pitch with Other Length,Pitch with Octave ,No. Instances of Pitch,No. of pitch with Semibreve Length,No. of pitch with Minim Length,No. of pitch with Crotchet Length,No. of pitch with Other Length,No. Pitch Duration Combos,Intervals Under Third,Intervals Between Third and Fifth,Intervals Between Fifth and Octave,Intervals Over Octave,Average Interval,Maximum Interval, ,Time Signature,Total No. Bars,No. Bars Rest,No. Bars Play,Percentage of bars that are rest,Longest Section of Rest,Section Type,No. Bars of Section Type, ,Length of Repeat Fragment,Fragment Start Bar,Where Else Repeated,Consecutive Repeats,Length of Repeat Fragment,Fragment Start Bar,Where Else Repeated,Consecutive Repeats,Length of Repeat Fragment,Fragment Start Bar,Where Else Repeated,Consecutive Repeats,Total number of 2 bar repeated fragments,Total number of 4 bar repeated fragments,Total number of 8 bar repeated fragments,Overall Total number of repeated fragments,Total 2 bar consec. repeats,Total 4 bar consec. repeats,Total 8 bar consec. repeats,Overall Total consec. repeats
,Piano,1,120.0,4.0,4.0,117.0,117.0,0.0,0.0,4.0,3.9375,99.16666666666667,0.0,0.0,,1 sharp,114.0,6.0,0.0,11.0,3.0,['A'],21.0,20.0,0.0,0.0,0.0,A3,13.0,12.0,0.0,0.0,1.0,14.0,71.0,13.0,5.0,0.0,4.101123595505618,12.0,,4/4,126.0,7.875,118.125,6.0,6.0,Rest,1.0,,2,4,"[12, 16, 36, 40, 84, 88]",0,4.0,14.0,"[38, 82, 86]",1.0,8.0,12.0,"[36, 84]",0.0,53.0,10.0,9.0,72.0,0.0,1.0,1.0,2.0
,,,,,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,"['A#', 'Bb']",0.0,0.0,0.0,0.0,0.0,A4,8.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,68.0,,2,17,"[41, 63, 89, 111, 119]",0,4.0,15.0,"[39, 87]",0.0,8.0,10.0,[34],0.0,,,,,,,,
,,,,,1.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,"['B', 'Cb']",20.0,20.0,0.0,0.0,0.0,B3,17.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Rest,6.0,,2,23,"[47, 95, 109, 117]",0,4.0,62.0,"[110, 118]",0.0,8.0,49.0,[97],0.0,,,,,,,,
,,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,"['B#', 'C']",18.0,18.0,0.0,0.0,0.0,B4,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,2.5,,2,56,"[62, 104, 110, 118]",0,,,,,8.0,107.0,[115],1.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['C#', 'Db']",0.0,0.0,0.0,0.0,0.0,C4,15.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Rest,0.125,,2,3,"[7, 11, 35]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,['D'],23.0,22.0,0.0,1.0,0.0,C5,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,47.625,,2,27,"[31, 51, 99]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['D#', 'Eb']",0.0,0.0,0.0,0.0,0.0,D4,23.0,22.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,2,61,"[65, 113, 121]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['E', 'Fb']",9.0,9.0,0.0,0.0,0.0,E4,9.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2,13,"[37, 85]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['E#', 'F']",0.0,0.0,0.0,0.0,0.0,F#4,6.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2,19,"[43, 91]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['F#', 'Gb']",6.0,6.0,0.0,0.0,0.0,G3,15.0,14.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,2,24,"[48, 96]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,['G'],23.0,22.0,1.0,0.0,0.0,G4,8.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2,28,"[52, 100]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['G#', 'Ab']",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2,59,"[107, 115]",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66,"[114, 122]",0,,,,,,,,,,,,,,,,
