Key,flat/sharp,Number of Accidentals,1st,2nd,3rd,4th,5th,6th,7th
A Minor,None,0,A,B,C,D,E,F,G#
C Major,None,0,A,B,C,D,E,F,G
D Minor,Flat,1,A,Bb,C,D,E,F,G
E Minor,Sharp,1,A,B,C,D,E,F#,G
F Major,Flat,1,A,Bb,C,D,E,F,G
G Major,Sharp,1,A,B,C,D,E,F#,G
Bb Major,Flat,2,A,Bb,C,D,Eb,F,G
B Minor,Sharp,2,A,B,C#,D,E,F#,G
D Major,Sharp,2,A,B,C#,D,E,F#,G
G Minor,Flat,2,A,Bb,C,D,Eb,F,G
A Major,Sharp,3,A,B,C#,D,E,F#,G#
C Minor,Flat,3,Bb,C,D,Eb,F,G,Ab
Eb Major,Flat,3,Bb,C,D,Eb,F,G,Ab
F# Minor,Sharp,3,A,B,C#,D,E,F#,G#
Ab Major,Flat,4,Bb,C,Db,Eb,F,G,Ab
C# Minor,Sharp,4,A,B,C#,D#,E,F#,G#
E Major,Sharp,4,A,B,C#,D#,E,F#,G#
F Minor,Flat,4,Bb,C,Db,Eb,F,G,Ab
Bb Minor,Flat,5,Bb,C,Db,Eb,F,Gb,Ab
B Major,Sharp,5,A#,B,C#,D#,E,F#,G#
Db Major,Flat,5,Bb,C,Db,Eb,F,Gb,Ab
G# Minor,Sharp,5,A#,B,C#,D#,E,Fx,G#
D# Minor,Sharp,6,A#,B,C#,D#,E#,F#,G#
Eb Minor,Flat,6,Bb,Cb,Db,Eb,F,Gb,Ab
F# Major,Sharp,6,A#,B,C#,D#,E#,F#,G#
Gb Major,Flat,6,Bb,Cb,Db,Eb,F,Gb,Ab
Ab Minor,Flat,7,Bb,Cb,Db,Eb,Fb,Gb,Ab
A# Minor,Sharp,7,A#,B#,C#,D#,E#,F#,G#
Cb Major,Flat,7,Bb,Cb,Db,Eb,Fb,Gb,Ab
C# Major,Sharp,7,A#,B#,C#,D#,E#,F#,G#
Db Minor,Flat,8,Bbb,Cb,Db,Eb,Fb,Gb,Ab
E# Minor,Sharp,8,A#,B#,C#,D#,E#,Fx,G#
Fb Major,Flat,8,Bbb,Cb,Db,Eb,Fb,Gb,Ab
G# Major,Sharp,8,A#,B#,C#,D#,E#,Fx,G#
B# Minor,Sharp,9,A#,B#,Cx,D#,E#,Fx,G#
D# Major,Sharp,9,A#,B#,Cx,D#,E#,Fx,G#
Gb Minor,Flat,9,Bbb,Cb,Db,Ebb,Fb,Gb,Ab
A# Major,Sharp,10,Gx,A#,B#,Cx,D#,E#,Fx
Cb Minor,Flat,10,Bbb,Cb,Db,Ebb,Fb,Gb,Abb
E# Major,Sharp,11,Gx,A#,B#,Cx,Dx,E#,Fx
Fb Minor,Flat,11,Bb,C,Db,Eb,F,G,Ab
B# Major,Sharp,12,Gx,Ax,B#,Cx,Dx,E#,Fx
